Timestamp,title,genres
4/11/2023 10:36:31,Samurai Champloo,"Action, Adventure, Animated, Comedy"
4/11/2023 10:36:43,One Piece,"Action, Adventure, Animated, Comedy"
4/11/2023 10:36:45,Breaking Bad,"Action, Adventure, Cooking"
4/11/2023 10:36:53,Community,Comedy
4/11/2023 10:36:59,Cowboy Bebop,"Action, Adventure, Animated, Dramatic, Comedy"
4/11/2023 10:37:02,Demon Slayer,Anime
4/11/2023 10:37:07,office,"Dramatic, Reality, Comedy"
4/11/2023 10:37:19,The office,"Action, Daytime, Comedy"
4/11/2023 10:37:20,Guy Fieri's Diners Drive-ins and Dives,"Art, Cooking, Daytime, Educational"
4/11/2023 10:37:23,Peacemaker,"Action, Science fiction, Comedy"
4/11/2023 10:37:26,One Piece,"Adventure, Animated"
4/11/2023 10:37:27,The Office,Comedy
4/11/2023 10:37:33,Psych,"Action, Dramatic, Police Procedural, Comedy, Detective"
4/11/2023 10:37:34,Nightwatch,Reality
4/11/2023 10:37:35,Family Guy,"Animated, Comedy"
4/11/2023 10:37:36,The Office,Educational
4/11/2023 10:37:37,Cobra Kai,"Action, Adventure, Dramatic, Reality, Comedy, Sports"
4/11/2023 10:37:44,Breaking Bad,"Adventure, Cooking, Dramatic, Comedy"
4/11/2023 10:37:47,ThevOffice,Action
4/11/2023 10:37:47,Bob Ross,"Art, Daytime, Educational"
4/11/2023 10:37:51,Breaking Bad,"Adventure, Dramatic"
4/11/2023 10:37:55,Paradise PD,"Animated, Comedy"
4/11/2023 10:37:57,Rick and Morty,"Animated, Comedy"
4/11/2023 10:38:02, The Office,"Reality, Comedy"
4/11/2023 10:38:13,the office,Comedy
4/11/2023 10:38:19,Breaking Bad,Cooking
4/11/2023 10:38:28,Breaking Brad,Cooking
4/11/2023 10:38:29,The Office,Daytime
4/11/2023 10:38:39,The Office,"Reality, Comedy"
4/11/2023 10:38:40,Peacemaker,"Action, Adventure, Comedy"
4/11/2023 10:38:40,Johnny Test ,"Action, Adventure, Animated, Children, Comedy"
4/11/2023 10:38:43,Hell's Kitchen,"Cooking, Dramatic"
4/11/2023 10:38:53,The office,"Dramatic, Comedy"
4/11/2023 10:38:58,The Last of Us,"Action, Adventure"
4/11/2023 10:39:07,the office,"Dramatic, Reality, Comedy"
4/11/2023 10:39:08,Phineas and Ferb,"Action, Adventure, Animated, Children, Educational, Music, Comedy"
4/11/2023 10:39:09,Better Caul Saul,"Action, Dramatic, Police Procedural"
4/11/2023 10:39:15,The Punisher,"Action, Dramatic"
4/11/2023 10:39:23,Breaking Bad,"Art, Cooking"
4/11/2023 10:39:24,Lex Anagnos Community TV,Daytime
4/11/2023 10:39:35,Game of Thrones,"Adventure, Fantasy"
